cycle,trajectory,policy,mean_proposals,exact_best,within_001,no_passing
6,0,fixed32,32.0,0.4755,0.4755,0.0
6,0,adaptive16,64.0,1.0,1.0,0.0
6,0,adaptive32,64.0,1.0,1.0,0.0
6,0,fixed64,64.0,1.0,1.0,0.0
6,1,fixed16,16.0,0.2515,0.443,0.0
6,1,fixed32,32.0,0.5135,0.763,0.0
6,1,adaptive16,64.0,1.0,1.0,0.0
6,1,adaptive32,64.0,1.0,1.0,0.0
6,1,fixed64,64.0,1.0,1.0,0.0
6,2,fixed16,16.0,0.265,0.593,0.0035
6,2,fixed32,32.0,0.513,0.884,0.0
6,2,adaptive16,64.0,1.0,1.0,0.0
6,2,adaptive32,64.0,1.0,1.0,0.0
6,2,fixed64,64.0,1.0,1.0,0.0
6,3,fixed16,16.0,0.262,0.262,0.0
6,3,fixed32,32.0,0.5105,0.5105,0.0
6,3,adaptive16,43.472,1.0,1.0,0.0
6,3,adaptive32,47.664,1.0,1.0,0.0
6,3,fixed64,64.0,1.0,1.0,0.0
6,4,fixed16,16.0,0.2395,0.421,0.0
6,4,fixed32,32.0,0.491,0.7385,0.0
6,4,adaptive16,64.0,1.0,1.0,0.0
6,4,adaptive32,64.0,1.0,1.0,0.0
6,4,fixed64,64.0,1.0,1.0,0.0
6,5,fixed16,16.0,0.258,0.258,0.0005
6,5,fixed32,32.0,0.4955,0.4955,0.0
6,5,adaptive16,64.0,1.0,1.0,0.0
6,5,adaptive32,64.0,1.0,1.0,0.0
6,5,fixed64,64.0,1.0,1.0,0.0
7,0,fixed16,16.0,0.2485,0.2485,0.0
7,0,fixed32,32.0,0.496,0.496,0.0
7,0,adaptive16,32.864,0.679,0.679,0.0
7,0,adaptive32,39.92,0.7435,0.7435,0.0
7,0,fixed64,64.0,1.0,1.0,0.0
7,1,fixed16,16.0,0.227,0.227,0.0
7,1,fixed32,32.0,0.5035,0.5035,0.0
7,1,adaptive16,64.0,1.0,1.0,0.0
7,1,adaptive32,64.0,1.0,1.0,0.0
7,1,fixed64,64.0,1.0,1.0,0.0
7,2,fixed16,16.0,0.2605,0.2605,0.0025
7,2,fixed32,32.0,0.4935,0.4935,0.0
7,2,adaptive16,64.0,1.0,1.0,0.0
7,2,adaptive32,64.0,1.0,1.0,0.0
7,2,fixed64,64.0,1.0,1.0,0.0
7,3,fixed16,16.0,0.268,0.268,0.0005
7,3,fixed32,32.0,0.517,0.517,0.0
7,3,adaptive16,43.168,1.0,1.0,0.0
7,3,adaptive32,47.456,1.0,1.0,0.0
7,3,fixed64,64.0,1.0,1.0,0.0
7,4,fixed16,16.0,0.2495,0.5805,0.0
7,4,fixed32,32.0,0.526,0.8885,0.0
7,4,adaptive16,64.0,1.0,1.0,0.0
7,4,adaptive32,64.0,1.0,1.0,0.0
7,4,fixed64,64.0,1.0,1.0,0.0
7,5,fixed16,16.0,0.24,0.24,0.0
7,5,fixed32,32.0,0.4975,0.4975,0.0
7,5,adaptive16,64.0,1.0,1.0,0.0
7,5,adaptive32,64.0,1.0,1.0,0.0
7,5,fixed64,64.0,1.0,1.0,0.0
8,0,fixed16,16.0,0.238,0.238,0.0
8,0,fixed32,32.0,0.4965,0.4965,0.0
8,0,adaptive16,44.304,1.0,1.0,0.0
8,0,adaptive32,48.112,1.0,1.0,0.0
8,0,fixed64,64.0,1.0,1.0,0.0
8,1,fixed16,16.0,0.2665,0.4485,0.0
8,1,fixed32,32.0,0.5055,0.754,0.0
8,1,adaptive16,64.0,1.0,1.0,0.0
8,1,adaptive32,64.0,1.0,1.0,0.0
8,1,fixed64,64.0,1.0,1.0,0.0
8,3,fixed16,16.0,0.2385,0.2385,0.003
8,3,fixed32,32.0,0.484,0.484,0.0
8,3,adaptive16,44.696,1.0,1.0,0.0
8,3,adaptive32,48.512,1.0,1.0,0.0
8,3,fixed64,64.0,1.0,1.0,0.0
8,4,fixed16,16.0,0.2505,0.2505,0.0
8,4,fixed32,32.0,0.5065,0.5065,0.0
8,4,adaptive16,64.0,1.0,1.0,0.0
8,4,adaptive32,64.0,1.0,1.0,0.0
8,4,fixed64,64.0,1.0,1.0,0.0
8,5,fixed16,16.0,0.2505,0.4525,0.0
8,5,fixed32,32.0,0.4955,0.77,0.0
8,5,adaptive16,64.0,1.0,1.0,0.0
8,5,adaptive32,64.0,1.0,1.0,0.0
8,5,fixed64,64.0,1.0,1.0,0.0
9,0,fixed16,16.0,0.245,0.245,0.0
9,0,fixed32,32.0,0.495,0.495,0.0
9,0,adaptive16,64.0,1.0,1.0,0.0
9,0,adaptive32,64.0,1.0,1.0,0.0
9,0,fixed64,64.0,1.0,1.0,0.0
9,3,fixed16,16.0,0.244,0.244,0.005
9,3,fixed32,32.0,0.514,0.514,0.0
9,3,adaptive16,23.248,0.423,0.423,0.0
9,3,adaptive32,33.888,0.573,0.573,0.0
9,3,fixed64,64.0,1.0,1.0,0.0
9,4,fixed16,16.0,0.2525,0.447,0.0
9,4,fixed32,32.0,0.4895,0.744,0.0
9,4,adaptive16,64.0,1.0,1.0,0.0
9,4,adaptive32,64.0,1.0,1.0,0.0
9,4,fixed64,64.0,1.0,1.0,0.0
9,5,fixed16,16.0,0.261,0.261,0.0
9,5,fixed32,32.0,0.529,0.529,0.0
9,5,adaptive16,64.0,1.0,1.0,0.0
9,5,adaptive32,64.0,1.0,1.0,0.0
9,5,fixed64,64.0,1.0,1.0,0.0
10,0,fixed16,16.0,0.2465,0.2465,0.0
10,0,fixed32,32.0,0.501,0.501,0.0
10,0,adaptive16,64.0,1.0,1.0,0.0
10,0,adaptive32,64.0,1.0,1.0,0.0
10,0,fixed64,64.0,1.0,1.0,0.0
10,3,fixed16,16.0,0.2435,0.2435,0.0005
10,3,fixed32,32.0,0.492,0.492,0.0
10,3,adaptive16,18.944,0.3105,0.3105,0.0
10,3,adaptive32,32.336,0.5025,0.5025,0.0
10,3,fixed64,64.0,1.0,1.0,0.0
10,4,fixed16,16.0,0.2565,0.444,0.0
10,4,fixed32,32.0,0.52,0.76,0.0
10,4,adaptive16,64.0,1.0,1.0,0.0
10,4,adaptive32,64.0,1.0,1.0,0.0
10,4,fixed64,64.0,1.0,1.0,0.0
10,5,fixed16,16.0,0.2595,0.599,0.0
10,5,fixed32,32.0,0.5075,0.8895,0.0
10,5,adaptive16,64.0,1.0,1.0,0.0
10,5,adaptive32,64.0,1.0,1.0,0.0
10,5,fixed64,64.0,1.0,1.0,0.0
11,0,fixed16,16.0,0.244,0.244,0.0
11,0,fixed32,32.0,0.485,0.485,0.0
11,0,adaptive16,64.0,1.0,1.0,0.0
11,0,adaptive32,64.0,1.0,1.0,0.0
11,0,fixed64,64.0,1.0,1.0,0.0
11,3,fixed16,16.0,0.245,0.245,0.002
11,3,fixed32,32.0,0.5005,0.5005,0.0
11,3,adaptive16,64.0,1.0,1.0,0.0
11,3,adaptive32,64.0,1.0,1.0,0.0
11,3,fixed64,64.0,1.0,1.0,0.0
11,4,fixed16,16.0,0.238,0.7,0.0
11,4,fixed32,32.0,0.483,0.945,0.0
11,4,adaptive16,64.0,1.0,1.0,0.0
11,4,adaptive32,64.0,1.0,1.0,0.0
11,4,fixed64,64.0,1.0,1.0,0.0
11,5,fixed16,16.0,0.2545,0.915,0.0
11,5,fixed32,32.0,0.5075,0.9965,0.0
11,5,adaptive16,64.0,1.0,1.0,0.0
11,5,adaptive32,64.0,1.0,1.0,0.0
11,5,fixed64,64.0,1.0,1.0,0.0
12,0,fixed16,16.0,0.252,0.252,0.0855
12,0,fixed32,32.0,0.4925,0.4925,0.001
12,0,adaptive16,64.0,1.0,1.0,0.0
12,0,adaptive32,64.0,1.0,1.0,0.0
12,0,fixed64,64.0,1.0,1.0,0.0
12,3,fixed16,16.0,0.249,0.249,0.1215
12,3,fixed32,32.0,0.5095,0.5095,0.006
12,3,adaptive16,64.0,1.0,1.0,0.0
12,3,adaptive32,64.0,1.0,1.0,0.0
12,3,fixed64,64.0,1.0,1.0,0.0
12,4,fixed16,16.0,0.269,0.269,0.0
12,4,fixed32,32.0,0.51,0.51,0.0
12,4,adaptive16,64.0,1.0,1.0,0.0
12,4,adaptive32,64.0,1.0,1.0,0.0
12,4,fixed64,64.0,1.0,1.0,0.0
12,5,fixed16,16.0,0.2565,0.2565,0.0
12,5,fixed32,32.0,0.505,0.505,0.0
12,5,adaptive16,64.0,1.0,1.0,0.0
12,5,adaptive32,64.0,1.0,1.0,0.0
12,5,fixed64,64.0,1.0,1.0,0.0
13,0,fixed16,16.0,0.259,0.259,0.0585
