cycle,trajectory,folds,scored,passing,missing_affinity,prior_best,best_score,best_name,improvement,best_ligand_plddt,best_pbind,q10,q25,median,q75,q90,q95,all_q10,all_median,all_q90,gap_to_median,gap_to_second,within_001,improve_001,final_filter_count,advanced_name,advanced_score,advanced_rank_all,advanced_percentile_all,best_so_far
1,0,64,64,59,0,1.5659816605783279,1.5687589380202756,c01_t0_n0_s5,0.0027772774419476676,93.46935483870968,0.6340653896331787,1.0995361508412518,1.2511342900676115,1.4145210655612332,1.4840435621015486,1.5176171166063124,1.5248569743857845,1.0316934067916872,1.3955583174351724,1.5140038458959517,0.1542378724590423,0.0154570683294728,1,0,0,c01_t0_n0_s5,1.5687589380202756,1,100.0,1.5687589380202756
1,1,64,64,54,0,1.5584281242555185,1.638939525954954,c01_t1_n0_s30,0.08051140169943549,95.98677419354837,0.6790717840194702,1.120926543532956,1.2986787448606183,1.5230768618122226,1.5741389808624022,1.6054896674651484,1.6205293222227404,0.9952054610541559,1.4975388822001796,1.6054896674651484,0.11586266414273139,0.008305523272483573,2,17,0,c01_t1_n0_s30,1.638939525954954,1,100.0,1.638939525954954
1,2,64,64,36,0,1.5510383694310341,1.5645183794329243,c01_t2_n0_s36,0.013480010001890141,89.67322580645161,0.6677861213684082,0.9586706649980237,1.0885734451040143,1.163404074424313,1.335194563319606,1.4584955622673037,1.5103200423017626,0.9240676990505957,1.1342696312965885,1.4465552120042617,0.4011143050086112,0.025942874948440053,1,1,0,c01_t2_n0_s36,1.5645183794329243,1,100.0,1.5645183794329243
1,3,64,64,48,0,1.5371841725872413,1.4842202662960178,c01_t3_n0_s18,-0.052963906291223495,92.4951612903226,0.5592686533927917,0.9841146443982278,1.0952342218645157,1.2655475042727686,1.3853005438327792,1.434069828707172,1.4593088761935695,0.9712221606722187,1.1933972476267045,1.4243541101314174,0.21867276202324915,0.02393796752806643,1,0,0,c01_t3_n0_s18,1.4842202662960178,1,100.0,1.5371841725872413
1,4,64,64,27,0,1.531606849842687,1.6748235435547367,c01_t4_n0_s33,0.14321669371204981,85.70064516129032,0.8178170919418335,1.2405024577645332,1.400604123120154,1.4713257117056078,1.517170456315625,1.5933793475594058,1.6150625668950236,1.0240354639247156,1.3926547938346863,1.598496421395271,0.20349783184912895,0.059193038497432404,1,5,0,c01_t4_n0_s33,1.6748235435547367,4,95.3125,1.6748235435547367
1,5,64,64,57,0,1.5199046098063071,1.8675966829761381,c01_t5_n0_s4,0.347692073169831,96.6948387096774,0.900648295879364,1.1396409742435334,1.4140737151822738,1.568524628602305,1.6744973758082233,1.7617108989371022,1.8017282217536432,1.021961166232632,1.5339863164655623,1.7474828566714256,0.2990720543738332,0.04148896879380737,1,33,3,c01_t5_n0_s4,1.8675966829761381,1,100.0,1.8675966829761381
2,0,64,64,57,0,1.5687589380202756,1.5439116957203034,c02_t0_n0_s7,-0.02484724229997215,91.52516129032257,0.6286600828170776,1.020955619951679,1.1289417026212138,1.285168980050856,1.4309553816456946,1.481807069820281,1.4904586188051776,0.9879130777986588,1.2569095029246422,1.4767223155166256,0.2587427156694475,0.017719457361774937,1,0,0,c02_t0_n0_s7,1.5439116957203034,1,100.0,1.5687589380202756
2,1,64,64,62,0,1.638939525954954,1.6419956822303032,c02_t1_n0_s43,0.0030561562753492755,94.9490322580645,0.6925053596496582,1.121844698421109,1.4361509215362611,1.5542863636678266,1.592228520365684,1.6139419142686167,1.6197025846175226,1.0569431611759432,1.5537724754118152,1.6138643293916024,0.08770931856247666,0.004168472016242264,2,0,0,c02_t1_n0_s43,1.6419956822303032,1,100.0,1.6419956822303032
2,2,64,64,20,0,1.5645183794329243,1.6004366985444096,c02_t2_n0_s15,0.03591831911148535,94.91129032258063,0.6513237953186035,1.0757253353697254,1.1707883539768957,1.4229994821025478,1.4947163167238235,1.547745953877972,1.5809131159265577,0.9537299844987931,1.1674400107783658,1.479524867510334,0.17743721644186183,0.02055113959773891,1,2,0,c02_t2_n0_s15,1.6004366985444096,1,100.0,1.6004366985444096
2,3,64,64,56,0,1.5371841725872413,1.5612151058996875,c02_t3_n0_s27,0.024030933312446212,94.83838709677418,0.6128312349319458,1.138202567126674,1.2377602902266287,1.380920836093349,1.4704566214946007,1.5154786342343978,1.5335177210677053,1.0648882440465497,1.3677230454352594,1.512896629139685,0.18029426980633856,0.022429398628972752,1,1,0,c02_t3_n0_s27,1.5612151058996875,1,100.0,1.5612151058996875
