trajectory,origin,seed_score,seed_ligand_plddt,seed_pbind,last_cycle,peak_cycle,peak,ligand_plddt,pbind,median_winner_minus_median,median_near_winners,significant_cycles,small_improving_cycles
0,L029,1.5659816605783279,91.82225806451613,0.6477590799331665,13,8,1.7214562675906766,94.47451612903227,0.776711106300354,0.1754020620715233,1.0,"[4, 7, 8]",[1]
1,L080,1.5584281242555185,88.63193548387095,0.6721087694168091,8,3,1.8776192630583242,97.38806451612903,0.9037386178970337,0.11016653721870895,1.5,"[1, 3]",[2]
2,L006,1.5510383694310341,88.17645161290322,0.669273853302002,7,2,1.6004366985444096,94.91129032258063,0.6513237953186035,0.17743721644186183,1.0,"[1, 2]",[]
3,L032,1.5371841725872413,89.84548387096778,0.6387293338775635,18,13,1.941142943982155,96.61290322580645,0.9750139117240906,0.18404357416937422,1.0,"[2, 6, 7, 8, 9, 10]","[11, 13]"
4,L005,1.531606849842687,83.91806451612904,0.6924262046813965,14,9,1.968279180508275,97.99806451612902,0.9882985353469849,0.17389040869128325,2.0,"[1, 2, 3, 5]","[6, 9]"
5,L014,1.5199046098063071,92.61322580645162,0.5937723517417908,25,20,1.9585973468688227,97.40903225806451,0.9845070242881775,0.17058606587379233,2.0,"[1, 2, 13]","[5, 10, 17, 20]"
