cycle,trajectory,threshold,replicates,mean_proposals,p_stop16,p_stop32,p_exact_best,p_within_001,mean_score_loss,p_no_passing,p_loss_over_001,prefix_proposals,prefix_score_loss
3,2,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
3,2,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
3,2,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
3,3,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
3,3,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
3,3,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
3,3,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
3,4,0.0001,2000,16.12,0.9925,0.0075,0.284,0.4615,0.020259005325998933,0.0,0.5385,16,0.032979652152522965
3,4,0.001,2000,16.12,0.9925,0.0075,0.284,0.4615,0.020259005325998933,0.0,0.5385,16,0.032979652152522965
3,4,0.005,2000,16.12,0.9925,0.0075,0.284,0.4615,0.020259005325998933,0.0,0.5385,16,0.032979652152522965
3,4,0.01,2000,16.12,0.9925,0.0075,0.284,0.4615,0.020259005325998933,0.0,0.5385,16,0.032979652152522965
3,5,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
3,5,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
3,5,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
3,5,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,0,0.0001,2000,31.912,0.4625,0.309,0.667,0.667,0.01847676484318392,0.0,0.333,16,0.05548578030986162
4,0,0.001,2000,31.912,0.4625,0.309,0.667,0.667,0.01847676484318392,0.0,0.333,16,0.05548578030986162
4,0,0.005,2000,43.96,0.2595,0.237,1.0,1.0,0.0,0.0,0.0,32,0.0
4,0,0.01,2000,43.96,0.2595,0.237,1.0,1.0,0.0,0.0,0.0,32,0.0
4,1,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,1,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,1,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,1,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,2,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,2,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,2,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,2,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,3,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,3,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,3,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,3,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,4,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,4,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,4,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,4,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,5,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,5,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,5,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
4,5,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,0,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,0,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,0,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,0,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,1,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,1,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,1,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,1,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,2,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,2,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,2,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,2,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,3,0.0001,2000,43.472,0.262,0.2485,1.0,1.0,0.0,0.0,0.0,32,0.0
6,3,0.001,2000,43.472,0.262,0.2485,1.0,1.0,0.0,0.0,0.0,32,0.0
6,3,0.005,2000,43.472,0.262,0.2485,1.0,1.0,0.0,0.0,0.0,32,0.0
6,3,0.01,2000,43.472,0.262,0.2485,1.0,1.0,0.0,0.0,0.0,32,0.0
6,4,0.0001,2000,44.456,0.2395,0.2515,1.0,1.0,0.0,0.0,0.0,16,0.0
6,4,0.001,2000,44.456,0.2395,0.2515,1.0,1.0,0.0,0.0,0.0,16,0.0
6,4,0.005,2000,44.456,0.2395,0.2515,1.0,1.0,0.0,0.0,0.0,16,0.0
6,4,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,5,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,5,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,5,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
6,5,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,0,0.0001,2000,32.864,0.441,0.3115,0.679,0.679,0.005242897258675526,0.0,0.321,16,0.016333013266901952
7,0,0.001,2000,32.864,0.441,0.3115,0.679,0.679,0.005242897258675526,0.0,0.321,16,0.016333013266901952
7,0,0.005,2000,32.864,0.441,0.3115,0.679,0.679,0.005242897258675526,0.0,0.321,16,0.016333013266901952
7,0,0.01,2000,32.864,0.441,0.3115,0.679,0.679,0.005242897258675526,0.0,0.321,16,0.016333013266901952
7,1,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,1,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,1,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,1,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,2,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,2,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,2,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,2,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,3,0.0001,2000,43.168,0.268,0.249,1.0,1.0,0.0,0.0,0.0,64,0.0
7,3,0.001,2000,43.168,0.268,0.249,1.0,1.0,0.0,0.0,0.0,64,0.0
